username,anime_id,score
Fortealto,35078,8.0
FourSeasonSage,30127,6.0
arm4gedon2112,49738,10.0
Francotk,59055,8.0
-Kano-,2608,6.0
as_yuuki789,37999,8.0
-Ariaaa-,31592,9.0
Kasaio,6045,8.0
Karinyia,3559,7.0
Riptos,9919,7.0
powerOfNeo107,27899,4.0
Kathikeyan,21033,7.0
RkGemr,36699,9.0
its-jsan,2167,8.0
KasanoKasa,33253,7.0
MoonWulf97,38329,8.0
CRISTALESCUITE,48569,9.0
-Endir-,36049,6.0
RizenAres,38691,10.0
ThuThi,1640,6.0
Risubb,176,6.0
Cagla,2923,7.0
-Jefuri-,31722,3.0
pryzak,53126,7.0
Karma_Lovers,31680,8.0
isuzusan,43299,8.0
arkapalit,1670,7.0
Thuuduujn,21855,7.0
Tichoslapek,12879,6.0
Frank,4023,6.0
Katis-Yeager,44961,10.0
Fomi,249,8.0
TikkiWiii,38668,10.0
itzTenzy,51533,7.0
ithaswhatitisnt,3588,9.0
Caldz34,39535,10.0
Francescotr,37521,6.0
Cakethatisall,50265,8.0
Forw3n,55848,4.0
ivo_nkr,36474,7.0
iuvin,20033,5.0
Rinzler145,39551,9.0
Rintaro2003,39701,7.0
-Loli-,36456,9.0
itsuka007,759,8.0
Tief,35760,5.0
Tifu006,10507,7.0
-Frazzle,17265,9.0
KatjieKat,50330,9.0
armiles713,23273,8.0
Cake1111,20031,6.0
Rizuraki,19645,7.0
Kasusu,5419,10.0
Rishama,36927,10.0
arkrnk,20507,7.0
MonkeyMe333,30276,7.0
ashliforel,28171,5.0
arshiA379,38408,6.0
MonkeyDMick,52034,9.0
asafsuf,527,4.0
Tiago_Soares,37998,3.0
Rizz97,31637,3.0
Karu-Sama,25313,8.0
CVManolo,48661,8.0
arokawr,12189,6.0
Kashou_,20449,7.0
CaldeCrack,28999,10.0
RitaGandra,35760,9.0
CQX77,34577,8.0
asfandjamil2,44511,9.0
artsysasaki,33206,8.0
Fraisja,35760,9.0
Karuchi,3981,4.0
Caguuu,33486,9.0
artursilvano,40908,5.0
Kasusu,555,7.0
prammy,30,8.0
FrakesUwU,33486,4.0
-Flaky-,10163,7.0
Tiffany_05,57353,10.0
Katania48,50380,8.0
Katman666,54789,8.0
Caktus,40028,8.0
-Handcrafted,39535,8.0
itsiisus,10073,10.0
princeof,13663,6.0
princemahdi8,24415,8.0
Rio-23,6203,5.0
-Aster-,6213,6.0
Kashou_,20931,7.0
-Chazz,463,7.0
-Ak1ra-,43007,6.0
MonkeeDan,54968,8.0
itsBits,18,7.0
--ALEX--,17247,5.0
Thovalo,37430,9.0
Monodami,30749,7.0
Rippinite,40748,9.0
Foodperson,31500,7.0
Ririchiyo-tan,8536,5.0
Ripler,39790,6.0
prototypeplayer,32937,7.0
Kasra_FP,35760,10.0
itsdihere,1535,7.0
Rndmguypassingby,2520,5.0
princefa5,20723,6.0
MonkeyAvsFan,24727,6.0
Riquiel,28999,8.0
aryaviotta,13271,7.0
KatOtaku,40750,10.0
ForflayyO,33354,7.0
MonkeeDan,5081,9.0
Framedingold,50360,6.0
KarmaSlyr,49759,9.0
Monitor_LCD,15335,10.0
RiseFromToilet,54744,7.0
psychedoll,849,8.0
itose1915,6746,1.0
Caio_Oliveira,7791,7.0
Katsuki,7079,7.0
-Luhui,2966,8.0
CYioReti,8795,8.0
prince_loomba,40591,9.0
--Dark-san,48561,8.0
-Kristian,22777,8.0
psi_rockin,33390,1.0
precurejunkie,1641,7.0
Fozhar,36038,8.0
CSGMarch,19315,4.0
Moonxch1ld,59192,8.0
prakhargr8,54855,7.0
Rk003,20541,7.0
asheccen,11757,9.0
princefa5,7647,8.0
Foxcoo,48553,8.0
-Kirino-,14515,8.0
TianDongen,8525,6.0
-Dislike-,48542,6.0
CTDrizzle,51009,10.0
-Hitokiri-,405,6.0
MoonglowBlossom,50631,9.0
Rkyn,30831,10.0
itsleepy,48760,7.0
CaioLima20,53438,7.0
CaldeCrack,39575,9.0
Karisun,32995,7.0
Foquitoss,10080,7.0
asetrisk2,1292,4.0
Cachje,48583,8.0
itachi_uchiva,2676,7.0
FoxyAnH,19815,10.0
pris_sucks,53129,7.0
ppoftherebellion,51009,8.0
proxy_1410,51009,9.0
Rittsuu,43299,7.0
Forionsy,52608,5.0
Monolorg,21881,7.0
ivanlzy,28223,9.0
pracyst24,33049,9.0
arthurbangoub,31240,10.0
CaCl2,39597,7.0
CSGMarch,39535,9.0
-Haoto-,31404,7.0
TikoMia,34009,5.0
-Ace,512,9.0
asadxawan,10030,8.0
arvin_1219,34658,7.0
Tigrao,35760,9.0
Foxx0108,45576,9.0
Ritu47,54853,6.0
itachi267,38935,7.0
-Ellisson-,10030,9.0
Kasielo20,37585,4.0
-All,28623,5.0
Fonzin,59898,10.0
CMMhero,39741,8.0
Thunder_Emp,18679,10.0
Montinihabato13,18441,6.0
Tiag0,5258,9.0
Ririchiyo-tan,19429,8.0
-Kurara-,30654,3.0
Thunderbreak11,38992,4.0
asheccen,55312,7.0
prismheart,9750,6.0
Rishadahmd99,40938,9.0
Risha_Haruki,41812,8.0
psihius,37446,2.0
isratul97,36043,7.0
pp4in,35203,7.0
MoonFangs,288,8.0
Forqot,32189,7.0
ittl,1564,3.0
Monzue,10819,5.0
Moonchild_ish,53447,9.0
Tiff_D,2676,7.0
-Heika,35120,5.0
--Roxy--,32282,6.0
asaderu,34934,7.0
Foomfa,12467,5.0
provec,22319,7.0
psychowera,51440,8.0
itsuka007,50594,7.0
-MAZ1NO,23273,8.0
-Kotoamatsukami-,12671,7.0
Tigre96,6811,7.0
CalCal63,19815,9.0
Fragworks,14513,8.0
Moontenegro,37716,7.0
prism__,36098,9.0
CRISTALESCUITE,40489,5.0
Kassitero,11597,7.0
Riquetrom,39783,7.0
Katsuragi9,50265,8.0
RizkyKusuma,32924,7.0
Caiovdkato,35466,8.0
Cachoso13,21033,6.0
MooDuck,10418,6.0
Kathaa,21603,9.0
Thorfinn101,5114,10.0
itzreinier,50602,9.0
CalabreseMuzza,36793,8.0
-Aria-,18397,9.0
Foreverhin,32542,9.0
RisuRisuRisu,35788,8.0
MonsterOfLogic,21405,9.0
arrazolavguille,15417,8.0
promanias,31326,8.0
princessleddit,37446,1.0
KatarinaFi,39659,7.0
KatieFrank,35994,8.0
asdfgoat,14813,10.0
Karsaaa,37171,8.0
-Dislike-,59833,8.0
Rionaa,9919,10.0
Kat091,50410,8.0
Kasuga_Arata48,38524,9.0
Foursixx,37521,9.0
-Ewoo-,10087,9.0
isrozzis,30187,4.0
itadakitontaro11,58939,9.0
Thoru_UwU,19775,10.0
Foziak,892,7.0
ashwinkumar005_,37510,9.0
CRXWLEY666,31757,10.0
-Denki-,32281,10.0
CLfromHS,355,6.0
prozyne,50608,7.0
arwen7stars,4181,8.0
itsjace,22297,8.0
Kasdar,20689,7.0
Riskelfish,33051,9.0
CairoSCCP,3515,7.0
arya333,36474,9.0
itallowinch,36456,8.0
Moon_pers0n,49220,7.0
Caiosus,11061,10.0
Thorak91,269,9.0
Rinsland,856,10.0
Fomero,34034,4.0
River_IX,52211,7.0
Monsmania,4399,7.0
-EpicMan-,22319,9.0
FourSeasonSage,31733,7.0
Riskelfish,39198,9.0
Thupa,32981,3.0
Katiica4869,9919,8.0
Katiica4869,39175,8.0
Frank_G,1575,7.0
ThundBlack002,43608,9.0
CaixaCaixa,34100,8.0
Karinyia,32518,7.0
Rishon007,36862,8.0
Throni,31327,6.0
ThudSoundEffect,31933,8.0
Monsheri,28851,9.0
-Deimos-,846,9.0
-HonokaKousaka-,2963,8.0
arnxcra,1535,10.0
Rizuchii,27831,7.0
CaioOkada,54714,7.0
asdasdasd111,31716,10.0
CPiva,31326,6.0
Tigertoxins,31859,9.0
itachi_re,1393,7.0
TijlE,52211,8.0
itsdreo,33352,10.0
prabhakar1717,49926,10.0
ThorfinnT_T,2386,6.0
Forever--Young,36729,10.0
ashlanex,34599,8.0
CaffeineCrusader,8516,9.0
Rirukiddo,49709,8.0
Monte_Carlo_1971,539,6.0
Moonl1tS,22535,9.0
Kasia0909,7817,6.0
-Kirito,1985,10.0
asetrisk2,32262,2.0
Tiago_Reis93,1735,9.0
ith_,30276,9.0
CKRpl,38297,5.0
itachi267,30654,8.0
primordial_noir_,50346,8.0
-Keen-,40956,8.0
ThySe77,40594,5.0
Forge9,39587,6.0
MonkeeDan,4214,3.0
prislila,32949,7.0
-Araragi-,16001,9.0
ivenusdoom,377,6.0
